task,model,file,mode,ICM,ICMNorm,FMeasure
2.1,gemini_2block_4exp_gating,task2_1_hard.json,hard,0.7073519452774003,0.8630599054852335,0.8284213166593508
2.1,gemini_1block_gating,task2_1_hard.json,hard,0.6876101090265249,0.8529270865240346,0.8228561125755752
2.1,gemini_1block_1exp_gating_seed_42,task2_1_hard.json,hard,0.6841844271428091,0.8511687995083164,0.8319382639234294
2.1,gemini_2block_gating,task2_1_hard.json,hard,0.682278682828242,0.8501906452028886,0.8208783103857054
2.1,gemini_4block_4exp_gating_seed_42,task2_1_hard.json,hard,0.67199890032728,0.8449143794229954,0.8183629982780267
2.1,siglip_1block_gating_seed_42,task2_1_hard.json,hard,0.671147966650531,0.8444776238555338,0.8242985772081564
2.1,gemini_4block_gating,task2_1_hard.json,hard,0.6638539914497319,0.8407338722977782,0.8222566838073433
2.1,gemini_4block,task2_1_hard.json,hard,0.6623540905002524,0.839964023708839,0.8213470575072724
2.1,gemini_1block_4exp_gating_seed_42,task2_1_hard.json,hard,0.6607370170322955,0.8391340344165795,0.8297870255769314
2.1,gemini_1block,task2_1_hard.json,hard,0.4650925088779782,0.7387163044400888,0.7810504451302639
2.1,gemini_kl,task2_1_hard.json,hard,0.38890105219269755,0.699609798481316,0.751801417171894
2.1,gemini_cascading,task2_1_hard.json,hard,0.237774915863973,0.6220418478477202,0.6992806871338232
2.1,gemini_bce_swiglu,task2_1_hard.json,hard,0.22420500803191276,0.6150768716603443,0.6980855246960482
2.1,gemini_bce_old,task2_1_hard.json,hard,0.2116224167219837,0.6086186517568837,0.6895337472907095
2.1,gemini_bce_swiglu_2,task2_1_hard.json,hard,0.19685171024327114,0.6010373461085214,0.6879996673397235
2.1,siglip,siglip_12_04_14-25_task2_1_hard.json,hard,-0.4685354905315484,0.25951652915557993,0.3375742283963362
2.2,gemini_2block_4exp_gating,task2_2_hard.json,hard,0.806752175110005,0.7790031841742591,0.6976467346387288
2.2,siglip_1block_gating_seed_42,task2_2_hard.json,hard,0.7454392355736842,0.7577990202569015,0.6826224970215669
2.2,gemini_4block_4exp_gating_seed_42,task2_2_hard.json,hard,0.7334087919555243,0.7536384711068013,0.6761815454594616
2.2,gemini_1block_4exp_gating_seed_42,task2_2_hard.json,hard,0.7133012077046278,0.7466845635684828,0.680050837850307
2.2,gemini_4block,task2_2_hard.json,hard,0.7012311450305821,0.7425103127599461,0.6669137573728677
2.2,gemini_1block_1exp_gating_seed_42,task2_2_hard.json,hard,0.6936219503420199,0.7398787864838362,0.6627148128086012
2.2,gemini_1block_gating,task2_2_hard.json,hard,0.6799691676487094,0.7351571756077907,0.6625376737887997
2.2,gemini_2block_gating,task2_2_hard.json,hard,0.6648716954304736,0.7299359404480642,0.6329568790150102
2.2,gemini_4block_gating,task2_2_hard.json,hard,0.6302229636887001,0.7179531943436159,0.6361791865252079
2.2,gemini_1block,task2_2_hard.json,hard,0.5302720679503357,0.6833866706546398,0.6764916646421733
2.2,gemini_kl,task2_2_hard.json,hard,0.3890262018530968,0.6345388985526219,0.637183504625177
2.2,gemini_cascading,task2_2_hard.json,hard,0.08599241239073528,0.5297391908098291,0.5304554776200406
2.2,gemini_bce_old,task2_2_hard.json,hard,0.042149747506306214,0.514576860316239,0.5151236581046889
2.2,gemini_bce_swiglu,task2_2_hard.json,hard,0.03559668812848438,0.5123105826551394,0.5074007488474594
2.2,gemini_bce_swiglu_2,task2_2_hard.json,hard,-0.003526997117195323,0.4987802407522028,0.5181544544703459
2.3,gemini_4block_4exp_gating_seed_42,task2_3_hard.json,hard,0.6725086816938993,0.6370846967510791,0.6289767539987173
2.3,gemini_1block_1exp_gating_seed_42,task2_3_hard.json,hard,0.6655653829331926,0.6356693692899286,0.6112129521211527
2.3,gemini_2block_4exp_gating,task2_3_hard.json,hard,0.6515817444791642,0.6328189334678677,0.5911461692450771
2.3,gemini_1block_4exp_gating_seed_42,task2_3_hard.json,hard,0.6387382352600478,0.6302009024826206,0.596892681820611
2.3,gemini_4block,task2_3_hard.json,hard,0.5920962159427309,0.6206933567095794,0.6042643482630181
2.3,gemini_4block_gating,task2_3_hard.json,hard,0.5801899024590556,0.6182663644375661,0.5867976879628874
2.3,gemini_1block_gating,task2_3_hard.json,hard,0.554832448530862,0.6130974811550927,0.5754761934528474
2.3,gemini_2block_gating,task2_3_hard.json,hard,0.546930561068294,0.6114867542216665,0.5777251395916994
2.3,siglip_1block_gating_seed_42,task2_3_hard.json,hard,0.4411334241589449,0.5899209829162013,0.5491705591227659
2.3,gemini_bce_old,task2_3_hard.json,hard,-0.26735092029824886,0.44550297887174495,0.5016258863616251
