task,model,file,mode,ICMSoft,ICMSoftNorm,CrossEntropy
2.1,gemini_2block_4exp_gating,task2_1_soft.json,soft,1.2955350133915258,0.7036499914822952,0.7545304638143434
2.1,gemini_1block_gating,task2_1_soft.json,soft,1.2866192272938342,0.7022484857382709,0.8162716756064876
2.1,gemini_2block_gating,task2_1_soft.json,soft,1.247588230130485,0.6961130573957723,0.7821699491267194
2.1,gemini_4block_4exp_gating_seed_42,task2_1_soft.json,soft,1.2170703504933609,0.6913158378193689,0.7670994047201182
2.1,gemini_4block_gating,task2_1_soft.json,soft,1.1625669730253771,0.6827482481808194,0.7800251716480332
2.1,gemini_1block_4exp_gating_seed_42,task2_1_soft.json,soft,1.1368006632528354,0.6786979456328617,0.8998330403862178
2.1,gemini_4block,task2_1_soft.json,soft,1.133468647676996,0.6781741736493765,0.7753040247115615
2.1,siglip_1block_gating_seed_42,task2_1_soft.json,soft,1.1268048250200753,0.6771266624564765,0.9005811043204957
2.1,gemini_1block_1exp_gating_seed_42,task2_1_soft.json,soft,1.0895385930375725,0.6712686441494712,0.9571962907786308
2.1,gemini_1block,task2_1_soft.json,soft,0.6774366574633653,0.6064888004539911,0.6161131957377991
2.1,gemini_kl,task2_1_soft.json,soft,0.44813426679720864,0.5704439005297618,0.6457237993839456
2.1,gemini_cascading,task2_1_soft.json,soft,0.009179803749319256,0.5014430076655851,0.6628969475908769
2.1,gemini_bce_swiglu,task2_1_soft.json,soft,-0.07905065783716121,0.48757373160215584,0.6472196680966082
2.1,gemini_bce_swiglu_2,task2_1_soft.json,soft,-0.17726334429895926,0.4721353122968847,0.6531719825178389
2.1,gemini_bce_old,task2_1_soft.json,soft,-0.22472896724435734,0.46467401359896143,0.6598236194699746
2.1,siglip,siglip_12_04_14-25_task2_1_soft.json,soft,-1.498557377934765,0.2644361641348274,0.7788050011043267
2.2,gemini_2block_4exp_gating,task2_2_soft.json,soft,-0.4295732154141942,0.4550632388182499,2.936109254226823
2.2,gemini_4block_4exp_gating_seed_42,task2_2_soft.json,soft,-0.5778900668399604,0.4395481212722864,2.9866393740191137
2.2,gemini_4block_gating,task2_2_soft.json,soft,-0.7558279897638746,0.4209344050053192,3.049699889212185
2.2,gemini_4block,task2_2_soft.json,soft,-0.8222085037557236,0.4139904774108173,3.0331109440253967
2.2,gemini_2block_gating,task2_2_soft.json,soft,-1.0918413339618211,0.385784747484085,3.026925506583069
2.2,siglip_1block_gating_seed_42,task2_2_soft.json,soft,-1.404580280692252,0.3530697763052906,3.131877230047508
2.2,gemini_1block_1exp_gating_seed_42,task2_2_soft.json,soft,-1.5149158293848923,0.3415278038927929,3.111894262080598
2.2,gemini_bce_swiglu,task2_2_soft.json,soft,-1.7236020993158734,0.3196975669569152,2.604637377483019
2.2,gemini_1block_gating,task2_2_soft.json,soft,-1.7358742582174105,0.3184138019223305,3.037481884847616
2.2,gemini_1block,task2_2_soft.json,soft,-1.7612409065194057,0.3157602495689113,2.275476764690837
2.2,gemini_1block_4exp_gating_seed_42,task2_2_soft.json,soft,-1.7867498424443011,0.3130918128030101,3.0963372341949875
2.2,gemini_bce_swiglu_2,task2_2_soft.json,soft,-1.7893197083958399,0.31282298446737467,2.641823001993551
2.2,gemini_cascading,task2_2_soft.json,soft,-1.8860439410626983,0.30270486353274473,2.5755622261326696
2.2,gemini_bce_old,task2_2_soft.json,soft,-1.8862459444749744,0.3026837323756576,2.6095419718029365
2.2,gemini_kl,task2_2_soft.json,soft,-2.044492848378877,0.28612985267991237,2.36336149234254
2.3,gemini_1block_4exp_gating_seed_42,task2_3_soft.json,soft,-2.397522454661736,0.3748103788277031,
2.3,gemini_1block_1exp_gating_seed_42,task2_3_soft.json,soft,-2.6176767060615305,0.3633147503806697,
2.3,gemini_4block_gating,task2_3_soft.json,soft,-2.831772764622292,0.3521354580184277,
2.3,gemini_4block,task2_3_soft.json,soft,-2.86500566148828,0.3504001609157784,
2.3,gemini_4block_4exp_gating_seed_42,task2_3_soft.json,soft,-3.1832436915165974,0.3337829658007136,
2.3,gemini_1block_gating,task2_3_soft.json,soft,-3.4248810220284525,0.3211655716198811,
2.3,siglip_1block_gating_seed_42,task2_3_soft.json,soft,-3.5217012319266927,0.3161099837669227,
2.3,gemini_2block_gating,task2_3_soft.json,soft,-3.5505395582285857,0.3146041546398764,
2.3,gemini_2block_4exp_gating,task2_3_soft.json,soft,-3.617593940395916,0.3111028265563175,
2.3,gemini_1block,task2_3_soft.json,soft,-3.819603804857071,0.3005546298727843,
2.3,gemini_kl,task2_3_soft.json,soft,-4.356539827834503,0.2725178466595117,
2.3,gemini_bce_swiglu,task2_3_soft.json,soft,-5.31265946177201,0.2225928690913998,
2.3,gemini_cascading,task2_3_soft.json,soft,-5.556497725104472,0.2098605504619968,
2.3,gemini_bce_swiglu_2,task2_3_soft.json,soft,-5.58003890137948,0.20863131862139891,
2.3,gemini_bce_old,task2_3_soft.json,soft,-5.909463575455406,0.19142999895401291,
